-----first touch------
channel,conversions,value
社交网络,2,0.10
直接,48.0,2.9
自然搜索,36.0,2.6
引荐,50.0,3.3



-----last touch------
channel,conversions,value
直接,73.0,4.9
自然搜索,24.0,1.7
引荐,39.0,2.3



-----linear------
channel,conversions,value
社交网络,0.982142857143,0.0553571428571
直接,63.5766400266,4.13935231435
自然搜索,30.0877455877,2.18301698302
引荐,41.3534715285,2.52227355977



